op  nemo  opr      #  ~  b  indir
DC  BIRA  R0,abs   3  3  0  1
DD  BIRA  R1,abs   3  3  0  1
DE  BIRA  R2,abs   3  3  0  1
DF  BIRA  R3,abs   3  3  0  1
E0  COMZ  R0       1  2  0  0
E1  COMZ  R1       1  2  0  0
E2  COMZ  R2       1  2  0  0
E3  COMZ  R3       1  2  0  0
E4  COMI  R0,nn    2  2  0  0
E5  COMI  R1,nn    2  2  0  0
E6  COMI  R2,nn    2  2  0  0
E7  COMI  R3,nn    2  2  0  0
E8  COMR  R0,rel   2  3  1  1
E9  COMR  R1,rel   2  3  1  1
EA  COMR  R2,rel   2  3  1  1
EB  COMR  R3,rel   2  3  1  1
EC  COMA  R0,abs   3  4  1  1
ED  COMA  R1,abs   3  4  1  1
EE  COMA  R2,abs   3  4  1  1
EF  COMA  R3,abs   3  4  1  1
F0  WRTD  R0       1  2  1  0
F1  WRTD  R1       1  2  1  0
F2  WRTD  R2       1  2  1  0
F3  WRTD  R3       1  2  1  0
F4  TMI   R0,nn    2  3  0  0
F5  TMI   R1,nn    2  3  0  0
F6  TMI   R2,nn    2  3  0  0
F7  TMI   R3,nn    2  3  0  0
F8  BDRR  R0,rel   2  3  0  1
F9  BDRR  R1,rel   2  3  0  1
FA  BDRR  R2,rel   2  3  0  1
FB  BDRR  R3,rel   2  3  0  1
FC  BDRA  R0,abs   3  3  0  1
FD  BDRA  R1,abs   3  3  0  1
FE  BDRA  R2,abs   3  3  0  1
FF  BDRA  R3,abs   3  3  0  1
