op mnem operand # bus               true_seq              false_seq
7F CP   HL,mn   3 023N              0:2:3:N               -
80 INC  B       1 0N                0:N                   -
81 INC  C       1 0N                0:N                   -
82 INC  D       1 0N                0:N                   -
83 INC  E       1 0N                0:N                   -
84 INC  H       1 0N                0:N                   -
85 INC  L       1 0N                0:N                   -
86 INC  A       1 0N                0:N                   -
87 INC  (n)     2 02ENW             0:2:d:E:N:W           -
88 DEC  B       1 0N                0:N                   -
89 DEC  C       1 0N                0:N                   -
8A DEC  D       1 0N                0:N                   -
8B DEC  E       1 0N                0:N                   -
8C DEC  H       1 0N                0:N                   -
8D DEC  L       1 0N                0:N                   -
8E DEC  A       1 0N                0:N                   -
8F DEC  (n)     2 02ENW             0:2:d:E:N:W           -
90 INC  BC      1 0N                0:N:d                 -
91 INC  DE      1 0N                0:N:d                 -
92 INC  HL      1 0N                0:N:d                 -
93 -    -       0 -                 -                     -
94 INC  IX      1 0N                0:N:d                 -
95 INC  IY      1 0N                0:N:d                 -
96 INC  SP      1 0N                0:N:d                 -
97 INCW (n)     2 02ErNFw           0:2:d:E:r:N:F:w       -
98 DEC  BC      1 0N                0:N:d                 -
99 DEC  DE      1 0N                0:N:d                 -
9A DEC  HL      1 0N                0:N:d                 -
9B -    -       0 -                 -                     -
9C DEC  IX      1 0N                0:N:d                 -
9D DEC  IY      1 0N                0:N:d                 -
9E DEC  SP      1 0N                0:N:d                 -
9F DECW (n)     2 02ErNFw           0:2:d:E:r:N:F:w       -
A0 RLCA -       1 0N                0:N                   -
A1 RRCA -       1 0N                0:N                   -
A2 RLA  -       1 0N                0:N                   -
A3 RRA  -       1 0N                0:N                   -
A4 SLAA -       1 0N                0:N                   -
A5 SRAA -       1 0N                0:N                   -
A6 SLLA -       1 0N                0:N                   -
A7 SRLA -       1 0N                0:N                   -
A8 BIT  0,(n)   2 02EN              0:2:d:E:N             -
A9 BIT  1,(n)   2 02EN              0:2:d:E:N             -
AA BIT  2,(n)   2 02EN              0:2:d:E:N             -
AB BIT  3,(n)   2 02EN              0:2:d:E:N             -
AC BIT  4,(n)   2 02EN              0:2:d:E:N             -
AD BIT  5,(n)   2 02EN              0:2:d:E:N             -
AE BIT  6,(n)   2 02EN              0:2:d:E:N             -
AF BIT  7,(n)   2 02EN              0:2:d:E:N             -
B0 RES  0,(n)   2 02ENW             0:2:d:E:N:W           -
B1 RES  1,(n)   2 02ENW             0:2:d:E:N:W           -
B2 RES  2,(n)   2 02ENW             0:2:d:E:N:W           -
B3 RES  3,(n)   2 02ENW             0:2:d:E:N:W           -
B4 RES  4,(n)   2 02ENW             0:2:d:E:N:W           -
B5 RES  5,(n)   2 02ENW             0:2:d:E:N:W           -
B6 RES  6,(n)   2 02ENW             0:2:d:E:N:W           -
B7 RES  7,(n)   2 02ENW             0:2:d:E:N:W           -
B8 SET  0,(n)   2 02ENW             0:2:d:E:N:W           -
B9 SET  1,(n)   2 02ENW             0:2:d:E:N:W           -
BA SET  2,(n)   2 02ENW             0:2:d:E:N:W           -
BB SET  3,(n)   2 02ENW             0:2:d:E:N:W           -
BC SET  4,(n)   2 02ENW             0:2:d:E:N:W           -
BD SET  5,(n)   2 02ENW             0:2:d:E:N:W           -
BE SET  6,(n)   2 02ENW             0:2:d:E:N:W           -
BF SET  7,(n)   2 02ENW             0:2:d:E:N:W           -
C0 JR   F,d     2 02nj@02N          0:2:n:d:j             0:2:N
C1 JR   LT,d    2 02nj@02N          0:2:n:d:j             0:2:N
C2 JR   LE,d    2 02nj@02N          0:2:n:d:j             0:2:N
C3 JR   ULE,d   2 02nj@02N          0:2:n:d:j             0:2:N
C4 JR   OV,d    2 02nj@02N          0:2:n:d:j             0:2:N
C5 JR   MI,d    2 02nj@02N          0:2:n:d:j             0:2:N
C6 JR   Z,d     2 02nj@02N          0:2:n:d:j             0:2:N
C7 JR   C,d     2 02nj@02N          0:2:n:d:j             0:2:N
C8 JR   d       2 02nj              0:2:n:d:j             -
C9 JR   GE,d    2 02nB@02N          0:2:n:d:j             0:2:N
CA JR   GT,d    2 02nB@02N          0:2:n:d:j             0:2:N
CB JR   UGT,d   2 02nB@02N          0:2:n:d:j             0:2:N
CC JR   UGE,d   2 02nB@02N          0:2:n:d:j             0:2:N
CD JR   NOV,d   2 02nB@02N          0:2:n:d:j             0:2:N
CE JR   NZ,d    2 02nB@02N          0:2:n:d:j             0:2:N
CF JR   NC,d    2 02nB@02N          0:2:n:d:j             0:2:N
D0 -    -       0 -                 -                     -
D1 -    -       0 -                 -                     -
D2 -    -       0 -                 -                     -
D3 -    -       0 -                 -                     -
D4 -    -       0 -                 -                     -
D5 -    -       0 -                 -                     -
D6 -    -       0 -                 -                     -
D7 -    -       0 -                 -                     -
D8 -    -       0 -                 -                     -
D9 -    -       0 -                 -                     -
DA -    -       0 -                 -                     -
DB -    -       0 -                 -                     -
DC -    -       0 -                 -                     -
DD -    -       0 -                 -                     -
DE -    -       0 -                 -                     -
DF -    -       0 -                 -                     -
E0 -    (BC)    1 0                 0                     -
E1 -    (DE)    1 0                 0                     -
E2 -    (HL)    1 0                 0                     -
E3 -    (mn)    3 023               0:2:3                 -
E4 -    (IX)    1 0                 0                     -
E5 -    (IY)    1 0                 0                     -
E6 -    (SP)    1 0                 0                     -
E7 -    (d)     2 02                0:2                   -
E8 -    (BC)    1 0                 0                     -
E9 -    (DE)    1 0                 0                     -
EA -    (HL)    1 0                 0                     -
EB -    (mn)    3 023               0:2:3                 -
EC -    (IX)    1 0                 0                     -
ED -    (IY)    1 0                 0                     -
EE -    (SP)    1 0                 0                     -
EF -    (d)     2 02                0:2                   -
F0 -    (IX+d)  2 02                0:2                   -
F1 -    (IY+d)  2 02                0:2                   -
F2 -    (SP+d)  2 02                0:2                   -
F3 -    (HL+A)  1 0                 0                     -
F4 -    (IX+d)  2 02                0:2                   -
F5 -    (IY+d)  2 02                0:2                   -
F6 -    (SP+d)  2 02                0:2                   -
F7 -    (HL+A)  1 0                 0                     -
F8 -    B/BC    1 0                 0                     -
F9 -    C/DE    1 0                 0                     -
FA -    D/HL    1 0                 0                     -
FB -    E       1 0                 0                     -
FC -    H/IX    1 0                 0                     -
FD -    L/IY    1 0                 0                     -
FE -    A/SP    1 0                 0                     -
FF SWI  -       1 0nVwWWWV          0:n:d:d:V:d:w:W:W:W:V -
