op  nemo  oper   ~  #  sequence
DD  STD   d8     4  2  0:2:E:e:N
DE  LDX   d8     4  2  0:2:D:d:N
DF  STX   d8     4  2  0:2:E:e:N
E0  SUBB  n8,X   4  2  0:2:x:R:N
E1  CMPB  n8,X   4  2  0:2:x:R:N
E2  SBCB  n8,X   4  2  0:2:x:R:N
E3  ADDD  n8,X   5  2  0:2:x:R:r:N
E4  ANDB  n8,X   4  2  0:2:x:R:N
E5  BITB  n8,X   4  2  0:2:x:R:N
E6  LDAB  n8,X   4  2  0:2:x:R:N
E7  STAB  n8,X   4  2  0:2:x:W:N
E8  EORB  n8,X   4  2  0:2:x:R:N
E9  ADCB  n8,X   4  2  0:2:x:R:N
EA  ORAB  n8,X   4  2  0:2:x:R:N
EB  ADDB  n8,X   4  2  0:2:x:R:N
EC  LDD   n8,X   5  2  0:2:x:R:r:N
ED  STD   n8,X   5  2  0:2:x:W:w:N
EE  LDX   n8,X   5  2  0:2:x:R:r:N
EF  STX   n8,X   5  2  0:2:x:W:w:N
F0  SUBB  a16    4  3  0:2:3:A:N
F1  CMPB  a16    4  3  0:2:3:A:N
F2  SBCB  a16    4  3  0:2:3:A:N
F3  ADDD  a16    5  3  0:2:3:A:a:N
F4  ANDB  a16    4  3  0:2:3:A:N
F5  BITB  a16    4  3  0:2:3:A:N
F6  LDAB  a16    4  3  0:2:3:A:N
F7  STAB  a16    4  3  0:2:3:B:N
F8  EORB  a16    4  3  0:2:3:A:N
F9  ADCB  a16    4  3  0:2:3:A:N
FA  ORAB  a16    4  3  0:2:3:A:N
FB  ADDB  a16    4  3  0:2:3:A:N
FC  LDD   a16    5  3  0:2:3:A:a:N
FD  STD   a16    5  3  0:2:3:B:b:N
FE  LDX   a16    5  3  0:2:3:A:a:N
FF  STX   a16    5  3  0:2:3:B:b:N
