op  nemo  oper   ~  #  sequence
E4  ANDB  n8,X   5  2  1:2:n:n:R:N
E5  BITB  n8,X   5  2  1:2:n:n:R:N
E6  LDAB  n8,X   5  2  1:2:n:n:R:N
E7  STAB  n8,X   6  2  1:2:n:n:n:W:N
E8  EORB  n8,X   5  2  1:2:n:n:R:N
E9  ADCB  n8,X   5  2  1:2:n:n:R:N
EA  ORAB  n8,X   5  2  1:2:n:n:R:N
EB  ADDB  n8,X   5  2  1:2:n:n:R:N
EC  -     -      0  0  -
ED  -     -      0  0  -
EE  LDX   n8,X   6  2  1:2:n:n:R:r:N
EF  STX   n8,X   7  2  1:2:n:n:n:W:w:N
F0  SUBB  a16    4  3  1:2:3:A:N
F1  CMPB  a16    4  3  1:2:3:A:N
F2  SBCB  a16    4  3  1:2:3:A:N
F3  -     -      0  0  -
F4  ANDB  a16    4  3  1:2:3:A:N
F5  BITB  a16    4  3  1:2:3:A:N
F6  LDAB  a16    4  3  1:2:3:A:N
F7  STAB  a16    5  3  1:2:3:n:B:N
F8  EORB  a16    4  3  1:2:3:A:N
F9  ADCB  a16    4  3  1:2:3:A:N
FA  ORAB  a16    4  3  1:2:3:A:N
FB  ADDB  a16    4  3  1:2:3:A:N
FC  -     -      0  0  -
FD  -     -      0  0  -
FE  LDX   a16    5  3  1:2:3:A:a:N
FF  STX   a16    6  3  1:2:3:n:B:b:N
